Document type;Authors;Title;Source;Full journal;Publication year;Volume;Issue;Pages;Folders filed in;Publisher;Date published;ISSN;ISSN (alt.);URLs;DOI;Abstract;Keywords
Book;De Sá Sousa HP,Nunes VT,Cappelli C,Guizzardi R,Leite JC;Using process indicators to help the verification of goal fulfillment;;;2017;;;;"References;mestrado;mestrado/with pdf";;2017;;;http://dx.doi.org/10.5220/0006239303450352;10.5220/0006239303450352;Process modelling is often criticized as lacking proper alignment with business goals. Although there is literature on different proposals to address the issue, the verification of this alignment remains an obstacle during process enactment. We make use of key process indicator (KPI) in a process design method to annotate processes/activities with proper information. The method derives this information from the business goals and uses it to calculate process indicators. We demonstrate through a real example, modelled with the ARIS business process model tool, how the method produces proper indicators, which should be used during process enactment. © Copyright 2017 by SCITEPRESS - Science and Technology Publications, Lda.;"Alignment; And BPM; Business goal; Business process"
Journal Article;De Pourcq K,Gemmel P,Devis B,Van Ooteghem J,De Caluwé T,Trybou J;A three-step methodology for process-oriented performance: how to enhance automated data collection in healthcare;Inform. Health Soc. Care;Informatics for health & social care;2019;;;;"References;mestrado;mestrado/with pdf";;2019;1753-8157;1753-8165;http://dx.doi.org/10.1080/17538157.2018.1496087;10.1080/17538157.2018.1496087;Background. Healthcare managers often attempt to enhance process-oriented performance. However, this remains a challenge. New approaches aimed at increasing the implementation success of process-oriented performance measurement should be investigated. Methods. This study investigates and discusses a step-by-step methodology to implement an automated and effective process-oriented performance measurement system in a hospital. The methodology is based on a framework for developing dashboards based on three steps: the demand side, supply side, and the fit between the two. An illustrative case of the process of hip surgery in the operating room of two hospitals is used. Results. A methodology has been developed to define a reliable set of process-oriented performance metrics, allowing analysis and management of the different flows in healthcare in an integrated way, several methods were investigated to automatically integrate the data gathered into a reporting infrastructure that can be used to disseminate the results. Conclusion. This step-by-step methodology allows healthcare organizations to develop and implement effective process-oriented performance measurement in an automated way. This allows the alignment of the goals of hospital management and various stakeholders with the more analytical analysis of business process management notation and hospital information system (HIS) data. © 2018, © 2018 Taylor & Francis Group, LLC.;"hospitals; performance measurement; Process management; quality"
Book;Darestani SA,Houshyar AN,Ismail N,Leman Z;Improving purchasing performance by implementation of QMS process management approach in a manufacturing company;;;2013;;;;"References;mestrado;mestrado/with pdf";;2013;;;http://dx.doi.org/10.4028/www.scientific.net/AMR.622-623.1868;10.4028/www.scientific.net/AMR.622-623.1868;Process oriented approach in quality management system has been introduced with ISO9001:2000. The international standard promotes the adoption of a process approach when developing, implementing and improving the effectiveness of a QMS to enhance customer satisfaction by meeting customer requirement. The advantage of process approach is to link all parties in scope of business of the organization from suppliers, internal departments of organization to gather to make B2B communication and integration. In this paper, the process approach is defined based on QMS requirement. Supply department was proposed for implementation of process. Purchasing process was designed as a linkage between supplier and internal company departments. Performance indicators were developed and measured accordingly. It shows that process management can improve delivery capability, quality and monitor price of supplied parts by suppliers. © (2013) Trans Tech Publications, Switzerland.;"Business process management (BPM); Continual improvement; Key performance indicator (KPI); Purchasing; Quality management system (QMS)"
Book;Danov B,Gotseva D;Study of Basic Concepts in the Context of Process Management and Strategies Based on Big Data;;;2024;;;;"References;mestrado;mestrado/with pdf";;2024;;;http://dx.doi.org/10.1109/COMSCI63166.2024.10778493;10.1109/COMSCI63166.2024.10778493;Big Data is both an advantage and a challenge due to the explosive increase in the volume of large data sets. Big Data analysis derives knowledge to improve business processes and can be critical in decision making. However, for this purpose, the right strategies need to be implemented. This document provides an overview of the key concepts, issues and challenges in integrating big data with business processes.;
Book;Danesh MH,Raahemi B,Kamali MA;A framework for process management in service oriented virtual organizations;;;2011;;;;"References;mestrado;mestrado/with pdf";;2011;;;http://dx.doi.org/10.1109/NWeSP.2011.6088146;10.1109/NWeSP.2011.6088146;Virtual Organization (VO) is a network of autonomous organizations sharing their competitive advantage to address a specific business opportunity. Due to their autonomous and interdependent nature, management of collaboration among such organizations is a challenging task. In this paper, we present a framework for process management in service oriented virtual organizations. We propose 6 layers for the framework with multiple components within each layer. In designing the components of the framework, standard reference architecture such as Open-EDI reference model and the S3 service oriented architecture, as well as best practices such as ITIL V3 and PMBOK are used. Further, we present a distributed SOA infrastructure that facilitates peer-to-peer collaboration between organizations in a virtual organization. The infrastructure is based on creating specific service zone for each participating organization to build a virtual ESB. Compared to collaborative environment in networked organization usually supported by computer networks, the loose coupling of services, and the autonomous characteristics of service oriented architecture make it one the best approaches for implementing virtual organization.;
Journal Article;Damij N,Damij T,Jelenc F;Healthcare process analysis and improvement at the department of abdominal surgery, university medical centre Ljubljana;Zdravniski Vestnik;;2015;;;;"References;mestrado;mestrado/with pdf";;2015;;;http://dx.doi.org/10.6016/zdravvestn.1022;10.6016/zdravvestn.1022;"Background: Healthcare processes in hospitals, likewise processes in companies or governmental organizations, may accumulate problems and obstacles over time, which consequently cause the processes to become ineffective. BPM (Business Process Management) is an approach to process modeling, improvement and automating, which has been used with great success for process improvement. Methods: This work was to examine the possibility of improving healthcare process by using BPM. To implement BPM ideas, a revised TAD (Tabular Application Development) methodology was developed, representing an important contribution to BPM. The first three phases of the TAD methodology were introduced in a step-bystep approach. The first phase deals with process identification, the second develops the “as-is” model, and the third phase discusses process improvement by developing a “to-be” model. Results: We found that (a) the Surgery process is efficient and well organized; (b) patient stay in the Department could be shortened; however for humane and social reasons the leadership prefers to leave the residence time as it is; (c) the process is associated with some time-consuming activities that are performed by other departments and represent the bottleneck of the process. Conclusions: (a) BPM proved to be a suitable approach to implementing healthcare process improvement; (b) the revised TAD methodology was found to be consistent and efficient in performing BPM approach; (c) the Surgery process was found to be effective and no changes or improvements are needed; (d) concerning time-consuming activities, the leadership decided to discuss this problem with the management of the departments where the activities are carried out. © 2015, Slovene Medical Society. All rights reserved.";"Business process management; Knowledge management; Process performance measures; Simulation technique; TA D methodology"
Book;Dachyar M,Christy E;Designing process improvement of finished good on time release and performance indicator tool in milk industry using business process reengineering method;;;2014;;;;"References;mestrado;mestrado/with pdf";;2014;;;http://dx.doi.org/10.1088/1742-6596/495/1/012011;10.1088/1742-6596/495/1/012011;To maintain position as a major milk producer, the Indonesian milk industry should do some business development with the purpose of increasing customer service level. One strategy is to create on time release conditions for finished goods which will be distributed to customers and distributors. To achieve this condition, management information systems of finished goods on time release needs to be improved. The focus of this research is to conduct business process improvement using Business Process Reengineering (BPR). The deliverable key of this study is a comprehensive business strategy which is the solution of the root problems. To achieve the goal, evaluation, reengineering, and improvement of the ERP system are conducted. To visualize the predicted implementation, a simulation model is built by Oracle BPM. The output of this simulation showed that the proposed solution could effectively reduce the process lead time and increase the number of quality releases.;
Book;Cuzzocrea A,Folino F,Guarascio M,Pontieri L;A Predictive Learning Framework for Monitoring Aggregated Performance Indicators over Business Process Events;;;2018;;;;"References;mestrado;mestrado/with pdf";;2018;;;http://dx.doi.org/10.1145/3216122.3216143;10.1145/3216122.3216143;"In many application contexts, a business process' executions are subject to performance constraints expressed in an aggregated form, usually over predefined time windows, and detecting a likely violation to such a constraint in advance could help undertake corrective measures for preventing it. This paper illustrates a prediction-aware event processing framework that addresses the problem of estimating whether the process instances of a given (unfinished) window w will violate an aggregate performance constraint, based on the continuous learning and application of an ensemble of models, capable each of making and integrating two kinds of predictions: single-instance predictions concerning the ongoing process instances of w, and time-series predictions concerning the ""future"" process instances of w (i.e. those that have not started yet, but will start by the end of w). Notably, the framework can continuously update the ensemble, fully exploiting the raw event data produced by the process under monitoring, suitably lifted to an adequate level of abstraction. The framework has been validated against historical event data coming from real-life business processes, showing promising results in terms of both accuracy and efficiency.";
Book;Couckuyt D,Van Looy A,De Backer M;Sustainability performance measurement: A preliminary classification framework of models and indicators;;;2018;;;;"References;mestrado;mestrado/with pdf";;2018;;;http://dx.doi.org/10.1007/978-3-319-74030-0_41;10.1007/978-3-319-74030-0_41;In this position paper we focus on the diversity of sustainability measurements. Based on existing research on performance measurement, we propose a preliminary classification framework summarizing sustainability models and indicators. By describing illustrative examples, we claim that several models and indicators can be distinguished with their own peculiarities. Having such a framework is interesting for both academia and business to structure the range of models and indicators and to ultimately select the appropriate sustainability measurement approach. The proposed framework should be validated by further research. © Springer International Publishing AG 2018.;"Green BPM; Performance measurement; Sustainability"
Journal Article;Corsi AM,Rungie C,Casini L;Is the polarization index a valid measure of loyalty for evaluating changes over time?;J. Prod. Brand Manag.;Journal of product & brand management;2011;;;;"References;mestrado;mestrado/with pdf";;2011;1061-0421;2054-1643;http://dx.doi.org/10.1108/10610421111121107;10.1108/10610421111121107;Purpose: This paper aims to argue that the polarization index (_) represents a valid loyalty measure for evaluating changes over time. Design/methodology/approach: The brand performance measures (BPM) are a valid and useful tool for marketing managers in measuring the loyalty consumers attach, in a single time period, to a product or brand. However, the BPM reflect other attributes and not only loyalty. Over time, what might appear to be a change in loyalty may actually be a change in market size or market share. The polarization index (_) is not biased in this manner and is more appropriate for evaluating changes over time. The study compares the results obtained with three well known BPM utilised for the analysis of loyalty - the purchase frequency, the share of category requirements and the repeat rate - with those obtained with the _ on the purchases of wine made by Italian consumers in the retail sector over two three-year periods (2003-2005 and 2006-2008). Findings: The study shows that the BPM are a fundamental source of information on the loyalty consumers attach to brands and products at one point in time. However, their strong relationship with market share risks providing results that do not reflect actual trends in loyalty. By comparison, _ provides a valid and useful analysis of the ways in which loyalty evolves over time. Originality/value: Although several researchers have studied the uses of _ on one-year and three-year periods, none observed how the index offers more valid results than the BPM over time. The paper shows that marketing managers should always compare the results obtained with the BPM with those derived from the _ before drawing conclusions on the real loyalty trends of their products and brands. © Emerald Group Publishing Limited.;"Brand loyalty; Brands; Consumer behaviour; Customer loyalty; Wines"
Journal Article;Conforti R,La Rosa M,Fortino G,Ter Hofstede AH,Recker J,Adams M;Real-time risk monitoring in business processes: A sensor-based approach;Journal of Systems and Software;;2013;;;;"References;mestrado;mestrado/with pdf";;2013;;;http://dx.doi.org/10.1016/j.jss.2013.07.024;10.1016/j.jss.2013.07.024;This article proposes an approach for real-time monitoring of risks in executable business process models. The approach considers risks in all phases of the business process management lifecycle, from process design, where risks are defined on top of process models, through to process diagnosis, where risks are detected during process execution. The approach has been realized via a distributed, sensor-based architecture. At design-time, sensors are defined to specify risk conditions which when fulfilled, are a likely indicator of negative process states (faults) to eventuate. Both historical and current process execution data can be used to compose such conditions. At run-time, each sensor independently notifies a sensor manager when a risk is detected. In turn, the sensor manager interacts with the monitoring component of a business process management system to prompt the results to process administrators who may take remedial actions. The proposed architecture has been implemented on top of the YAWL system, and evaluated through performance measurements and usability tests with students. The results show that risk conditions can be computed efficiently and that the approach is perceived as useful by the participants in the tests. © 2013 Elsevier Inc.;"Business process management; Risk; YAWL"
Book;Confort VT,Santoro FM;Major Issues in Business Process Management: Key Concerns presented in Academy from a Brazilian Perspective;;;2015;;;;"References;mestrado;mestrado/with pdf";;2015;;;http://dx.doi.org/10.5753/sbsi.2015.5881;10.5753/sbsi.2015.5881;This paper is part of a major research in Business Process Management (BPM). There are international publications that identify the evolution of this area and practical challenges in several perspectives. This paper contributes with a comprehensive survey that identifies, from a Brazilian perspective, the evolution of the academic interest and the practical challenges of the national organizations. The expected results are, first, that this work can provide evidences to answer our research question: What are the issues BPM in Brazil? In addition, we expect to contribute with an approach and instruments that can be applied in the future in a new evaluation, following the same process of this research. This first part presents the results of a key concerns classification of all the papers presented in a Brazilian's Conference: the Workshop of Business Process Management. With this first part, we aim to contribute by showing and discussing what are the academy keys concern and compare it with the BPM International Conference.;
Book;Forgia C,Revetria R;System dynamics and regressive meta-modeling applied methodology for improving management performances in services industry: a case study in supply chain and highway maintenance;;;2008;;;;"References;mestrado;mestrado/with pdf";;2008;;;http://dx.doi.org/10.5772/23666;10.5772/23666;"Nowadays Services and Manufacturing are merging in an unique model of business featuring common drivers of profitability (i.e. customer satisfaction), common goals in operations (i.e. minimize capital investment and be rapid, responsive and flexible) and common enabling factors such as digital electronic computing and communications, better integration between operations, Business Process Re-design (BPR). Therefore, a new management area, called Business Performance Management (BPM) has developed, which is able to set an integration of planned, elaborated and collected performances through an advanced setting of data analysis and summary based on ERP systems. First data seem to confirm that BPM may produce hypothetical improvement in several fields such as banking, financial, medical, pharmaceutical, governmental and manufacturing ones. Actually, BPM represents an evolution of Business Intelligence (BI) based on the idea of Business Activity Monitoring (BAM). The aim of the integration of BAM solutions overtakes the physical boundaries of a deployment or of a department, and the idea of real time (time required for one or more data processing) is not necessarily expressed in nanoseconds but it is rather determined by the business process bill. Therefore, BPM is in general an amount of services and implements offering an explicit management process in analyzing, planning, programming, executive and monitoring areas. Both BPM and CPM (Corporate Performance Management systems) are based on parameters permitting to determine the efficiency of an aspect of the company activity objectively; these parameters have been defined Key Performance Indicators (KPI). Actually, they provide the base for strategic decisions. About 86% of the companies is expecting a competitive benefit reducing the time wasted to collecting and answering to information, while a good 74% of the companies has executive managers demanding IT manager to restrain the clue operation data receiving time. Nevertheless, today only 35% of the companies is able to exploit the benefits received from real time information. What makes the difference between the value expected from applications and the applicability of them in order to goal the planned results? Considering the target to achieve, the proposed methodology is able to link primary performance indicators with objective indicators based on decreasing hierarchical level (top-down) by analyze the existing connection between KPIs as well as the relation between one KPI and the others and identify, at the same time, the relevant coefficients using Multivariate Analysis of Variance and Neural Network Metamodels. From a methodological point of view this process is similar to the identification of the unknown function y = (x1, x2, ..., xn), where y is the dependent KPI and xi are the independent ones. For specific application System Dynamics simulation may replace metamodels to better define interconnections between independent and dependent KPI, by applying Design of Experiment to the simulation output and Response Surface Methodology. Thus, a powerful tool which can effectively support decision making and foreseeing processes is obtained. This is a necessary condition for choosing real priorities and discovering KPI's interconnections in the services business as well as in the manufacturing one. The paper presents the methodology from a theoretical point of view and brief summary of a real life applications to Supply Chain Management, a second application for the Highway maintenance management sector is briefly outlined.";
Journal Article;Fellmann M,Metzger D,Jannaber S,Zarvic N,Thomas O;Process Modeling Recommender Systems: A Generic Data Model and Its Application to a Smart Glasses-based Modeling Environment;Business & Information Systems Engineering;;2018;;;;"References;mestrado;mestrado/with pdf";;2018;;;http://dx.doi.org/10.1007/s12599-018-0517-5;10.1007/s12599-018-0517-5;;"Enterprise process modeling; Business agility; Recommender systems; Requirements; Data model; Smart Glasses"
Journal Article;Er M,Mulyono NR,Rentio IA,Nurkasanah I;How do digital startups manage their activities? Insights and opportunities for business process management;Inf. Syst. E-bus. Manag.;Information systems and e-business management;2024;;;;"References;mestrado;mestrado/with pdf";;2024;1617-9846;1617-9854;http://dx.doi.org/10.1007/s10257-024-00683-1;10.1007/s10257-024-00683-1;Business process management (BPM) aims to help organizations manage their business processes. Startups differ from established firms as they go through different phases of prospecting, developing, and exploiting the new venture. Startups begin to focus on the organization of their processes after they reach the exploiting (scale-up) phase. Digital startups are unique as information technology (IT) becomes the business model itself. These unique characteristics raise a question: how do digital startups at the scale-up phase manage their business processes? To answer the question, two case studies on digital startups in logistics providers are conducted. The case studies are designed to be inductive in nature. Grounded Theory Method (GTM) is used for data collection and analysis. Data is collected via interviews and supporting documents. The BPM capability provides the basis to create guiding questions for the interviews. The interview results are analyzed with a grounded theory approach of open, theoretical, and selective coding. To derive a new theory, cross-case analyses are conducted. Findings from two digital startups allow us to identify important categories that play a role in how digital startups manage their activities: industry and stakeholders, digital offerings, organic structure, process management, performance measurement, employee training and culture. We further theorize that the competitive nature of startups makes them customer-centric and focus on agility. Digital startups continuously improve their product and conduct adaptive process experimentation involving a cycle of process identification, IT-based process implementation and process adaptation. The supporting capabilities that enable the process management of digital startups are agile people and culture and organic structure. © The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature 2024.;"Business process; Business process management; Capability; Digital entrepreneurship; Digital startups"
Journal Article;Eggers J,Hein A,Böhm M,Krcmar H;No Longer Out of Sight, No Longer Out of Mind? How Organizations Engage with Process Mining-Induced Transparency to Achieve Increased Process Awareness;Business & Information Systems Engineering;;2021;;;;"References;mestrado;mestrado/with pdf";;2021;;;http://dx.doi.org/10.1007/s12599-021-00715-x;10.1007/s12599-021-00715-x;Abstract In recent years, process mining has emerged as the leading big data technology for business process analysis. By extracting knowledge from event logs in information systems, process mining provides unprecedented transparency of business processes while being independent of the source system. However, despite its practical relevance, there is still a limited understanding of how organizations act upon the pervasive transparency created by process mining and how they leverage it to benefit from increased process awareness. Addressing this gap, this study conducts a multiple case study to explore how four organizations achieved increased process awareness by using process mining. Drawing on data from 24 semi-structured interviews and archival sources, this study reveals seven sociotechnical mechanisms based on process mining that enable organizations to create either standardized or shared awareness of sub-processes, end-to-end processes, and the firm’s process landscape. Thereby, this study contributes to research on business process management by revealing how process mining facilitates mechanisms that serve as a new, data-driven way of creating process awareness. In addition, the findings indicate that these mechanisms are influenced by the governance approach chosen to conduct process mining, i.e., a top-down or bottom-up driven implementation approach. Last, this study also points to the importance of balancing the social complications of increased process transparency and awareness. These results serve as a valuable starting point for practitioners to reflect on measures to increase organizational process awareness through process mining.;"Big data analytics; Process mining; Sociotechnical mechanisms; Process awareness; Process orientation; Business process management"
Book;Draheim D;On the Design of IT Key Performance Indicators;;;2011;;;;"References;mestrado;mestrado/with pdf";;2011;;;http://dx.doi.org/10.1109/DEXA.2011.59;10.1109/DEXA.2011.59;Today's successful IT service providers need to continuously improve the transparency of their service provision. The selection and negotiation of key performance indicators is an important component in establishing transparency. In this workshop contribution we aim at characterizing the role of key performance indicators in management system, in general, and IT service management systems, in particular. We discuss the theoretical background of process-oriented quality management systems, i.e., the management school of cybernetic feedback-control systems. We express our opinion that a purely mechanical application of quality management systems comes at the risk of misunderstanding or overlooking important parts of the functioning of a successful enterprise. Against the background of these findings we can understand mainstream IT governance and IT service management systems as process-oriented quality management systems. As part of the discussion, we reconsider the mainstream IT planning instruments of total cost of ownership and total economic impact and extend them by a means to incorporate probabilistic risk assessment.;
Book;Del-Río-Ortega A,Cabanillas C,Resinas M,Ruiz-Cortés A;PPINOT tool suite: A performance management solution for process-oriented organisations;;;2013;;;;"References;mestrado;mestrado/with pdf";;2013;;;http://dx.doi.org/10.1007/978-3-642-45005-1_58;10.1007/978-3-642-45005-1_58;A key aspect in any process-oriented organisation is the measurement of process performance for the achievement of its strategic and operational goals. Process Performance Indicators (PPIs) are a key asset to carry out this evaluation, and, therefore, the management of these PPIs throughout the whole BP lifecycle is crucial. In this demo we present PPINOT Tool Suite, a set of tools aimed at facilitating and automating the PPI management. The support includes their definition using either a graphical or a template-based textual notation, their automated analysis at design-time, and their automated computation based on the instrumentation of a Business Process Management System. © 2013 Springer-Verlag.;
Journal Article;Czvetkó T,Kummer A,Ruppert T,Abonyi J;Data-driven business process management-based development of Industry 4.0 solutions;CIRP J. Manuf. Sci. Technol.;CIRP journal of manufacturing science and technology;2022;;;;"References;mestrado;mestrado/with pdf";;2022;1755-5817;1878-0016;http://dx.doi.org/10.1016/j.cirpj.2021.12.002;10.1016/j.cirpj.2021.12.002;Business process management (BPM) supports the management and transformation of organizational operations. This paper provides a structured guideline for improving data-based process development within the BPM life cycle. We show how Industry 4.0-induced tools and models can be integrated within the BPM life cycle to achieve more efficient process excellence and evidence-based decision-making. The paper demonstrates how standards of machine learning (CRISP-ML(Q)), BPM, and tools of design science research can support the redesign phases of Industry 4.0 development. The proposed methodology is carried out on an assembly company, where the proposed improvement steps are investigated by simulation and evaluated by relevant key performance indicators. © 2021 CIRP;"Business process management (BPM); Business process redesign (BPR); Digital technology; Discrete event simulation; Industry 4.0 (I4.0)"
Journal Article;Combi C,Oliboni B,Zardini A,Zerbato F;A Methodological Framework for the Integrated Design of Decision-Intensive Care Pathways—an Application to the Management of COPD Patients;J. Healthc. Inform. Res.;Journal of healthcare informatics research;2017;;;;"References;mestrado;mestrado/with pdf";;2017;2509-4971;2509-498X;http://dx.doi.org/10.1007/s41666-017-0007-4;10.1007/s41666-017-0007-4;;"Care pathways; Decision modeling; Methodological framework; Business process model and notation; Decision model and notation; Healthcare process modeling"
Journal Article;Colley M,Hartwig S,Zeqiri A,Ropinski T,Rukzio E;AutoTherm: A Dataset and Benchmark for Thermal Comfort Estimation Indoors and in Vehicles;Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.;Proceedings of the ACM on interactive, mobile, wearable and ubiquitous technologies;2024;;;;"References;mestrado;mestrado/with pdf";;2024;2474-9567;;http://dx.doi.org/10.1145/3678503;10.1145/3678503;Thermal comfort inside buildings is a well-studied field where human judgment for thermal comfort is collected and may be used for automatic thermal comfort estimation. However, indoor scenarios are rather static in terms of thermal state changes and, thus, cannot be applied to dynamic conditions, e.g., inside a vehicle. In this work, we present our findings of a gap between building and in-vehicle scenarios regarding thermal comfort estimation. We provide evidence by comparing deep neural classifiers for thermal comfort estimation for indoor and in-vehicle conditions. Further, we introduce a temporal dataset for indoor predictions incorporating 31 input signals and self-labeled user ratings by 18 subjects in a self-built climatic chamber. For in-vehicle scenarios, we acquired a second dataset featuring human judgments from 20 subjects in a BMW 3 Series. Our experimental results indicate superior performance for estimations from time series data over single vector input. Leveraging modern machine learning architectures enables us to recognize human thermal comfort states and estimate future states automatically. We provide details on training a recurrent network-based classifier and perform an initial performance benchmark of the proposed dataset. Ultimately, we compare our collected dataset to publicly available thermal comfort datasets.;
Book;Cleven A,Winter R,Wortmann F;Process performance management: illuminating design issues through a systematic problem analysis;;;2011;;;;"References;mestrado;mestrado/with pdf";;2011;;;http://dx.doi.org/10.1145/1982185.1982250;10.1145/1982185.1982250;Business processes are the means by which organizations create value. Consequently, organizations need to continuously monitor and control their processes' performance so as to provide a consistent and predictable execution quality. A number of today's organizations, however, appear to encounter difficulties with measuring and improving their processes' performance. In this paper, we set out to identify the gap between how organizations currently approach process performance management (PPM) and what they are striving to realize in the future. The systematic gap analysis results in a set of design factors that are valuable in guiding future design efforts for useful and relevant PPM solutions.;
Journal Article;Cleven AK,Winter R,Wortmann F,Mettler T;Process management in hospitals: an empirically grounded maturity model;Business Research;;2014;;;;"References;mestrado;mestrado/with pdf";;2014;;;http://dx.doi.org/10.1007/s40685-014-0012-x;10.1007/s40685-014-0012-x;Abstract In order to improve transparency and stabilise health care costs, several countries have decided to reform their healthcare system on the basis of diagnosis-related groups (DRG). DRGs are not only used for classifying medical treatments, but also for case-based reimbursement, hence induce active competition among hospitals, forcing them to become more efficient and effective. In consequence, hospitals are investing considerably in process orientation and management. However, to date there is neither a consensus on what capabilities hospitals need to acquire for becoming process-oriented, nor a general agreement on the sequence of development stages they have to traverse. To this end, this study proposes an empirically grounded conceptualisation of process management capabilities and presents a staged capability maturity model algorithmically derived on the basis of empirical data from 129 acute somatic hospitals in Switzerland. The five capability maturity levels start with ‘encouragement of process orientation’ (level 1), ‘case-by-case handling’ (level 2), and ‘defined processes’ (level 3). Ultimately, hospitals can reach the levels ‘occasional corrective action’ (level 4) and ‘closed loop improvement’ (level 5). The empirically derived model reveals why existing, generic capability maturity models for process management are not applicable in the hospitals context: their comparatively high complexity on the one hand and their strong focus on topics like an adequate IT integration and process automation on the other make them inadequate for solving the problems felt in the hospital sector, which are primarily of cultural and structural nature. We deem the proposed capability maturity model capable to overcome these shortcomings.;"Health care management; Process management; Maturity model; Design science research"
Book;Cleven A;Exploring patterns of business-IT alignment for the purpose of process performance measurement;;;2011;;;;"References;mestrado;mestrado/with pdf";;2011;;;http://dx.doi.org/10.1007/978-3-642-45103-4_9;10.1007/978-3-642-45103-4_9;Having successfully implemented the first phases of their Business Process Management (BPM) initiatives a number of organisations are just now facing the next big challenge: Maintaining the just gained flexibility through continuously measuring and improving their processes' performance. Although numerous approaches are available there is evidence that companies face severe difficulties in aligning their process-related measurement needs with the appropriate information technology (IT). This study presents and analyses the results of an extracting multiple case study. A framework of four patterns derived in the course of the analysis gives new insights in ways to design business-IT alignment in the context of process performance measurement.;"Business process management; Business-IT-alignment; Performance management; Indexed keywords"
Journal Article;Cimino MG,Palumbo F,Vaglini G,Ferro E,Celandroni N,La Rosa D;Evaluating the impact of smart technologies on harbor’s logistics via BPMN modeling and simulation;Inf. Technol. Manag.;Information technology management;2017;;;;"References;mestrado;mestrado/with pdf";;2017;1938-2537;;http://dx.doi.org/10.1007/s10799-016-0266-4;10.1007/s10799-016-0266-4;;"Smart harbors; Wireless sensor network; RFID; BPMN; Workflow modeling; Workflow simulation"
Journal Article;Choong KK;Are PMS meeting the measurement needs of BPM? A literature review;Bus. Proc.management J.;Business process management journal;2013;;;;"References;mestrado;mestrado/with pdf";;2013;1463-7154;1758-4116;http://dx.doi.org/10.1108/14637151311319941;10.1108/14637151311319941;Purpose: The purpose of this paper is to identify the fundamentals of a performance measurement system (PMS), in order to ascertain if they satisfy the measurement requirements of business process management (BPM) by means of a systematic review of the literature. Design/methodology/approach: The paper uses meta-analysis to systematically review and examine existing BPM and PMS from the business, non-business and public sectors. A specific methodology using categorization concept was used to select the appropriate articles. In total, 42 relevant articles are selected and later analyzed. A subsequent content analysis of the information obtained is applied to identify the gaps in the current literature. Findings: The growing interest in PMS has produced an extraordinarily large numbers of papers on the topic. This paper found that, by and large, the PMS as advocated by various authors for over 20 years (since 1990) failed to fulfill the measurement requirements of BPM. This is alarming, considering that past critics of PMS have indicated that the weaknesses of PMS in relation to BPM applied only in isolated or specific situations such as information technology (IT). These findings dispel the notion that a PMS is a prerequisite to the introduction of an effective BP in organizations. Practical implications: This paper has identified the gaps (weaknesses) of current PMS in meeting the measurement requirements of BPM. This paper proposes a theoretical integrated framework which encompasses a management system, that combines with a measurement system and business processes, and which can be implemented using the popular value-chain methodology to measure and compare performance within BP organizations. Originality/value: The results presented contribute towards providing an updated overview of the current state of research into PMS and its relevance to BPM, in order to identify existing research gaps, issues and concerns upon which ongoing and future research efforts on this topic can be built. © Emerald Group Publishing Limited.;"Business process; Business process management; Journals; Performance measurement; Performance measurement system; Process management; Research work"
Book;Choi BK,Kang D,Kong J,Kim H,Jamjoom AA,Mogbil AM,Alghamdi TA;Simulation-based operation management of outpatient departments in university hospitals;;;2013;;;;"References;mestrado;mestrado/with pdf";;2013;;;http://dx.doi.org/10.1109/wsc.2013.6721604;10.1109/wsc.2013.6721604;Recently, the growth of outpatient clinic capacity has not matched the increasing demand on outpatient clinics, which has led to long waiting times for patients and overtime work for clinic staff. This has three significant negative effects on patients and staff: (1) patients' distrust of the procedures for treating outpatients increases, (2) nurses' stress from patient complaints increases, and (3) doctors' pressure to shorten treatment times while maintaining high levels of service quality increases. Presented in this paper is a simulation-based operation management method that provides the stakeholders with future visibility in outpatient departments. The future visibility is obtained from the current situation of the outpatient department using a simulation-based scheduling system and is shared by a business process management system that informs patients of their expected waiting time in order to lower the workload and pressure on clinic staff and to allow staff to manage exceptions proactively.;
Journal Article;Cho M,Song M,Comuzzi M,Yoo S;Evaluating the effect of best practices for business process redesign: An evidence-based approach based on process mining techniques;Decis. Support Syst.;Decision support systems;2017;;;;"References;mestrado;mestrado/with pdf";;2017;0167-9236;1873-5797;http://dx.doi.org/10.1016/j.dss.2017.10.004;10.1016/j.dss.2017.10.004;The management of business processes in modern times is rapidly shifting towards being evidence-based. Business process evaluation indicators tend to focus on process performance only, neglecting the definition of indicators to evaluate other concerns of interest in different phases of the business process lifecycle. Moreover, they usually do not discuss specifically which data must be collected to calculate indicators and whether collecting these data is feasible or not. This paper proposes a business process assessment framework focused on the process redesign lifecycle phase and tightly coupled with process mining as an operational framework to calculate indicators. The framework includes process performance indicators and indicators to assess whether process redesign best practices have been applied and to what extent. Both sets of indicators can be calculated using standard process mining functionality. This, implicitly, also defines what data must be collected during process execution to enable their calculation. The framework is evaluated through case studies and a thorough comparison against other approaches in the literature. © 2017 Elsevier B.V.;"Best practiceBusiness process management; Case study; Process mining; Process performance indicator; Process redesign"
